lambda,attrition_averted,min_dp_ratio,dp_ratio_Gender,dp_ratio_MaritalStatus,dp_ratio_AgeBand
0.0,0.0294,0.2083,0.8902,0.2083,0.267
0.05,0.0299,0.213,0.8419,0.213,0.267
0.1,0.0303,0.2178,0.8902,0.2178,0.267
0.15,0.0317,0.259,0.8419,0.28,0.259
0.2,0.0335,0.2094,0.8419,0.3184,0.2094
0.25,0.034,0.2513,0.8902,0.3184,0.2513
0.3,0.0357,0.259,0.8902,0.326,0.259
0.35,0.037,0.2442,0.9419,0.326,0.2442
0.4,0.0379,0.2848,0.9419,0.3651,0.2848
0.45,0.0387,0.2848,0.9464,0.3765,0.2848
0.5,0.0391,0.2848,0.9972,0.3423,0.2848
0.55,0.0399,0.2442,0.8902,0.3963,0.2442
0.6,0.0408,0.259,0.8902,0.4726,0.259
0.65,0.042,0.267,0.8419,0.4861,0.267
0.7,0.0431,0.3116,0.7541,0.5568,0.3116
0.75,0.0442,0.3929,0.7141,0.5927,0.3929
0.8,0.0445,0.4069,0.7541,0.5529,0.4069
0.85,0.0445,0.4069,0.7541,0.5529,0.4069
0.9,0.0445,0.422,0.7541,0.5529,0.422
0.95,0.0445,0.4747,0.7141,0.5927,0.4747
1.0,0.0445,0.4747,0.7141,0.5927,0.4747
